index,title,date,source,author,category
0,Foreign Democrat final.,2023-03-10,NY Times,Paula George,Politics
1,To offer down resource great point.,2022-05-25,Fox News,Joseph Hill,Politics
2,Himself church myself carry.,2022-09-01,CNN,Julia Robinson,Business
3,You unit its should.,2023-02-07,Reuters,Mr. David Foster DDS,Science
4,Billion believe employee summer how.,2023-04-03,CNN,Austin Walker,Technology
5,Method purpose mission approach professor short.,2023-12-02,Reuters,Sherri Fry,Health
6,Laugh member step.,2022-06-01,CNN,Alyssa Young,Business
7,Center measure difference dark.,2024-12-31,NY Times,Tina Garrett,Sports
8,Moment make those affect first difference.,2022-09-08,Fox News,Heather Greene,Entertainment
9,Reason physical contain total decision.,2022-11-08,Daily News,Erin Hanson,Health
10,Whose particular contain current those.,2024-06-24,Global Times,Douglas Evans,Science
11,Region itself from machine forget.,2025-02-10,Fox News,Andrew Chapman,Politics
12,Believe short Mrs parent read drug behind.,2022-04-27,Daily News,Diane Hayden,Sports
13,Bag national play wall prevent imagine design.,2023-07-17,CNN,Roy Trujillo,Sports
14,Simple support writer husband left tough.,2025-03-04,The Guardian,Gerald Jenkins,Technology
15,Concern nice idea different.,2023-09-17,BBC,Karen Floyd MD,Politics
16,Almost gun system you.,2024-09-14,NY Times,James Williams,Business
17,Nothing firm hand employee.,2024-11-20,Fox News,David Burgess,Business
18,Cut somebody skill.,2024-10-15,Global Times,Andrew Robinson,Sports
19,Discover quite less option firm.,2024-04-18,Fox News,,Business
20,Alone prepare receive prove house.,2023-12-17,Global Times,Jacqueline Matthews,Business
21,Show technology product alone seem.,2023-10-19,,Nicole Baker,Entertainment
22,Election finish rather social business center.,2024-11-24,NY Times,John Lynn,Health
23,Organization total about garden attack.,2022-08-05,,Tonya Anderson,Business
24,Decide rather itself heavy section.,2023-02-24,The Guardian,John Turner,Business
25,Quickly even new mind science gun.,2022-08-12,Daily News,Stephen Parks,Health
26,Early police series kind soon area.,2023-06-28,CNN,Desiree Castro,Sports
27,Next society in help in institution.,2023-02-12,NY Times,Kathy Cabrera,Technology
28,Word PM stop thus call catch offer.,2023-08-30,Fox News,Melanie Harding,Business
29,Step data enter news plan per to development.,2023-11-19,Reuters,Maria Walker,Sports
